model_name,config_name,grid,randomized
DecisionTree,custom_params,0.8541408441107539,0.8539133885172
DecisionTree,paper_params,0.8210826285048953,0.8210826285048953
GaussianNB,custom_params,0.6843813157754982,0.6843813157754982
GaussianNB,paper_params,0.6843813157754982,0.6843813157754982
LightGBM,custom_params,0.9134586576913558,0.9196590771314945
LightGBM,paper_params,0.9134586576913558,0.9196590771314945
LogisticRegression,custom_params,0.8858653883729108,0.8858653883729108
LogisticRegression,paper_params,0.8858032639376671,0.8858032639376671
RandomForest,custom_params,0.8948644134200804,0.8948644134200804
RandomForest,paper_params,0.900557817308068,0.9004305624165202
XGBoost,custom_params,0.9159255989747465,0.9166520540642906
XGBoost,paper_params,0.9159255989747465,0.9166520540642906
